Rank;Name;Year;Genre;Genre_Enum;Publisher;VG_Global_Sales;IGN_Score;Editors_Choice
2483;Ar tonelico: Melody of Elemia;2006;Role-Playing;3;505 Games;0.1;7.4;N
2484;PQ: Practical Intelligence Quotient;2005;Puzzle;10;D3Publisher;0.08;7.4;N
2485;JoJo's Bizarre Adventure: All Star Battle;2012;Fighting;4;Take-Two Interactive;0.64;7.4;N
2486;PoPoLoCrois;2005;Role-Playing;3;Ignition Entertainment;0.06;7.4;N
2487;Bejeweled Twist;2008;Puzzle;10;PopCap Games;0.15;7.4;N
2488;The King of Fighters 2000;2002;Fighting;4;Playmore;0.04;7.4;N
2489;In Cold Blood;2000;Adventure;6;Sony Computer Entertainment;0.03;7.4;N
2490;Taito Legends 2;2006;Misc;12;Empire Interactive;0.02;7.4;N
2491;Hogs of War;2000;Strategy;9;Infogrames;0.02;7.4;N
2492;Drone Tactics;2007;Strategy;9;Success;0.02;7.4;N
2493;Need for Speed III: Hot Pursuit;1998;Racing;8;Electronic Arts;3.12;7.3;N
2494;Call of Duty: Finest Hour;2004;Shooter;7;Activision;4.5;7.3;N
2495;Star Wars: The Force Unleashed;2008;Action;5;LucasArts;10.23;7.3;N
2496;Twisted Metal 2;1996;Racing;8;Sony Computer Entertainment;2.44;7.3;N
2497;New Super Luigi U;2013;Platform;1;Nintendo;2.22;7.3;N
2498;Saints Row IV;2013;Action;5;Deep Silver;3.76;7.3;N
2499;MySims Kingdom;2008;Simulation;11;Electronic Arts;3.11;7.3;N
2500;Knockout Kings;1997;Fighting;4;Electronic Arts;1.52;7.3;N
2501;Wall-E;2008;Platform;1;THQ;4.92;7.3;N
2502;Mirror's Edge;2008;Platform;1;Electronic Arts;2.37;7.3;N
2503;Puzzler Collection;2008;Puzzle;10;Ubisoft;1.06;7.3;N
2504;Harry Potter and the Order of the Phoenix;2007;Action;5;Electronic Arts;2.57;7.3;N
2505;Dance Dance Revolution SuperNOVA 2;2007;Simulation;11;Konami Digital Entertainment;0.79;7.3;N
2506;Turok;2008;Action;5;Touchstone;1.44;7.3;N
2507;Armored Core 3;2002;Simulation;11;Metro 3D;0.67;7.3;N
2508;Wolfenstein;2009;Shooter;7;Activision;1.25;7.3;N
2509;Kinect Sports Rivals;2014;Sports;2;Microsoft Game Studios;0.58;7.3;N
2510;G-Force;2009;Action;5;Disney Interactive Studios;2.02;7.3;N
